"","DESC_UNIDAD_RESPONSABLE","sex","niv_sueldo","n()"
"511","Secretaría de Desarrollo Urbano y Vivienda",NA,2,3
"512","Secretaría de Desarrollo Urbano y Vivienda",NA,3,1
"513","Secretaría de Desarrollo Urbano y Vivienda",NA,4,1
"514","Secretaría de Desarrollo Urbano y Vivienda",NA,5,1
"515","Secretaría de Educación, Ciencia, Tecnología e Innovación","H",1,272
"516","Secretaría de Educación, Ciencia, Tecnología e Innovación","H",2,176
"517","Secretaría de Educación, Ciencia, Tecnología e Innovación","H",3,36
"518","Secretaría de Educación, Ciencia, Tecnología e Innovación","H",4,5
"519","Secretaría de Educación, Ciencia, Tecnología e Innovación","H",5,5
"520","Secretaría de Educación, Ciencia, Tecnología e Innovación","H",6,1
"521","Secretaría de Educación, Ciencia, Tecnología e Innovación","M",1,274
"522","Secretaría de Educación, Ciencia, Tecnología e Innovación","M",2,157
"523","Secretaría de Educación, Ciencia, Tecnología e Innovación","M",3,23
"524","Secretaría de Educación, Ciencia, Tecnología e Innovación","M",4,1
"525","Secretaría de Educación, Ciencia, Tecnología e Innovación","M",5,3
"526","Secretaría de Educación, Ciencia, Tecnología e Innovación",NA,1,19
"527","Secretaría de Educación, Ciencia, Tecnología e Innovación",NA,2,9
"528","Secretaría de Educación, Ciencia, Tecnología e Innovación",NA,3,3
"529","Secretaría de Educación, Ciencia, Tecnología e Innovación",NA,6,1
"530","Secretaría de Gestión Integral de Riesgos y Protección Civil","H",1,142
"531","Secretaría de Gestión Integral de Riesgos y Protección Civil","H",2,33
"532","Secretaría de Gestión Integral de Riesgos y Protección Civil","H",3,8
"533","Secretaría de Gestión Integral de Riesgos y Protección Civil","H",4,1
"534","Secretaría de Gestión Integral de Riesgos y Protección Civil","H",5,3
"535","Secretaría de Gestión Integral de Riesgos y Protección Civil","H",6,1
"536","Secretaría de Gestión Integral de Riesgos y Protección Civil","M",1,108
"537","Secretaría de Gestión Integral de Riesgos y Protección Civil","M",2,29
"538","Secretaría de Gestión Integral de Riesgos y Protección Civil","M",3,4
"539","Secretaría de Gestión Integral de Riesgos y Protección Civil","M",4,1
"540","Secretaría de Gestión Integral de Riesgos y Protección Civil","M",6,1
"541","Secretaría de Gestión Integral de Riesgos y Protección Civil",NA,1,5
"542","Secretaría de Gestión Integral de Riesgos y Protección Civil",NA,2,3
"543","Secretaría de Gestión Integral de Riesgos y Protección Civil",NA,5,1
"544","Secretaría de Gobierno","H",1,4638
"545","Secretaría de Gobierno","H",2,194
"546","Secretaría de Gobierno","H",3,14
"547","Secretaría de Gobierno","H",4,11
"548","Secretaría de Gobierno","H",5,6
"549","Secretaría de Gobierno","H",6,2
"550","Secretaría de Gobierno","M",1,4183
"551","Secretaría de Gobierno","M",2,121
"552","Secretaría de Gobierno","M",3,13
"553","Secretaría de Gobierno","M",4,1
"554","Secretaría de Gobierno","M",5,2
"555","Secretaría de Gobierno",NA,1,217
"556","Secretaría de Gobierno",NA,2,6
"557","Secretaría de Gobierno",NA,4,1
"558","Secretaría de Gobierno",NA,6,1
"559","Secretaría de Inclusión y Bienestar Social","H",1,1374
"560","Secretaría de Inclusión y Bienestar Social","H",2,95
"561","Secretaría de Inclusión y Bienestar Social","H",3,22
"562","Secretaría de Inclusión y Bienestar Social","H",4,4
"563","Secretaría de Inclusión y Bienestar Social","H",5,2
"564","Secretaría de Inclusión y Bienestar Social","M",1,3258
"565","Secretaría de Inclusión y Bienestar Social","M",2,186
"566","Secretaría de Inclusión y Bienestar Social","M",3,10
"567","Secretaría de Inclusión y Bienestar Social","M",4,3
"568","Secretaría de Inclusión y Bienestar Social","M",5,1
"569","Secretaría de Inclusión y Bienestar Social",NA,1,141
"570","Secretaría de Inclusión y Bienestar Social",NA,2,10
"571","Secretaría de Inclusión y Bienestar Social",NA,4,1
"572","Secretaría de Inclusión y Bienestar Social",NA,6,1
"573","Secretaria de la Contraloría General","H",1,188
"574","Secretaria de la Contraloría General","H",2,115
"575","Secretaria de la Contraloría General","H",3,32
"576","Secretaria de la Contraloría General","H",4,1
"577","Secretaria de la Contraloría General","H",5,2
"578","Secretaria de la Contraloría General","H",6,1
"579","Secretaria de la Contraloría General","M",1,247
"580","Secretaria de la Contraloría General","M",2,128
"581","Secretaria de la Contraloría General","M",3,21
"582","Secretaria de la Contraloría General","M",4,1
"583","Secretaria de la Contraloría General","M",5,1
"584","Secretaria de la Contraloría General",NA,1,13
"585","Secretaria de la Contraloría General",NA,2,6
"586","Secretaria de la Contraloría General",NA,4,1
"587","Secretaría de las Mujeres","H",1,79
"588","Secretaría de las Mujeres","H",2,4
"589","Secretaría de las Mujeres","H",3,1
"590","Secretaría de las Mujeres","H",4,1
"591","Secretaría de las Mujeres","M",1,559
"592","Secretaría de las Mujeres","M",2,39
"593","Secretaría de las Mujeres","M",3,9
"594","Secretaría de las Mujeres","M",4,3
"595","Secretaría de las Mujeres","M",5,1
"596","Secretaría de las Mujeres","M",6,1
"597","Secretaría de las Mujeres",NA,1,19
"598","Secretaría de las Mujeres",NA,2,1
"599","Secretaría de las Mujeres",NA,3,1
"600","Secretaría de las Mujeres",NA,4,1
"601","Secretaría de Movilidad","H",1,752
"602","Secretaría de Movilidad","H",2,265
"603","Secretaría de Movilidad","H",3,9
"604","Secretaría de Movilidad","H",4,7
"605","Secretaría de Movilidad","H",5,4
"606","Secretaría de Movilidad","H",6,3
"607","Secretaría de Movilidad","M",1,573
"608","Secretaría de Movilidad","M",2,84
"609","Secretaría de Movilidad","M",3,9
"610","Secretaría de Movilidad","M",4,1
"611","Secretaría de Movilidad","M",5,3
"612","Secretaría de Movilidad",NA,1,30
"613","Secretaría de Movilidad",NA,2,5
"614","Secretaría de Movilidad",NA,3,1
"615","Secretaría de Movilidad",NA,5,1
"616","Secretaría de Obras y Servicios","H",1,2854
"617","Secretaría de Obras y Servicios","H",2,227
"618","Secretaría de Obras y Servicios","H",3,27
"619","Secretaría de Obras y Servicios","H",4,3
"620","Secretaría de Obras y Servicios","H",5,5
"621","Secretaría de Obras y Servicios","H",6,1
"622","Secretaría de Obras y Servicios","M",1,1879
"623","Secretaría de Obras y Servicios","M",2,110
"624","Secretaría de Obras y Servicios","M",3,8
"625","Secretaría de Obras y Servicios","M",4,2
"626","Secretaría de Obras y Servicios","M",5,3
"627","Secretaría de Obras y Servicios",NA,1,112
"628","Secretaría de Obras y Servicios",NA,2,8
"629","Secretaría de Obras y Servicios",NA,3,1
"630","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes","H",1,44
"631","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes","H",2,13
"632","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes","H",3,2
"633","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes","H",4,2
"634","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes","M",1,51
"635","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes","M",2,12
"636","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes","M",4,2
"637","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes","M",6,1
"638","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes",NA,1,2
"639","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes",NA,2,6
"640","Secretaría De Pueblos Y Barrios Originarios Y Comunidades Indígenas Residentes",NA,3,1
"641","Secretaría de Salud","H",1,6287
"642","Secretaría de Salud","H",2,2285
"643","Secretaría de Salud","H",3,1411
"644","Secretaría de Salud","H",4,1
"645","Secretaría de Salud","H",5,2
"646","Secretaría de Salud","H",6,1
"647","Secretaría de Salud","M",1,7612
"648","Secretaría de Salud","M",2,6146
"649","Secretaría de Salud","M",3,876
"650","Secretaría de Salud","M",4,3
"651","Secretaría de Salud","M",6,1
"652","Secretaría de Salud",NA,1,406
"653","Secretaría de Salud",NA,2,332
"654","Secretaría de Salud",NA,3,68
"655","Secretaría de Seguridad Ciudadana","H",1,29391
"656","Secretaría de Seguridad Ciudadana","H",2,1689
"657","Secretaría de Seguridad Ciudadana","H",3,149
"658","Secretaría de Seguridad Ciudadana","H",4,12
"659","Secretaría de Seguridad Ciudadana","H",5,43
"660","Secretaría de Seguridad Ciudadana","H",6,6
"661","Secretaría de Seguridad Ciudadana","M",1,11478
"662","Secretaría de Seguridad Ciudadana","M",2,696
"663","Secretaría de Seguridad Ciudadana","M",3,39
"664","Secretaría de Seguridad Ciudadana","M",4,7
"665","Secretaría de Seguridad Ciudadana","M",5,9
"666","Secretaría de Seguridad Ciudadana","M",6,1
"667","Secretaría de Seguridad Ciudadana",NA,1,1187
"668","Secretaría de Seguridad Ciudadana",NA,2,40
"669","Secretaría de Seguridad Ciudadana",NA,3,7
"670","Secretaría de Seguridad Ciudadana",NA,5,1
"671","Secretaría de Turismo","H",1,43
"672","Secretaría de Turismo","H",2,16
"673","Secretaría de Turismo","H",3,5
"674","Secretaría de Turismo","H",4,2
"675","Secretaría de Turismo","H",5,3
"676","Secretaría de Turismo","H",6,1
"677","Secretaría de Turismo","M",1,61
"678","Secretaría de Turismo","M",2,18
"679","Secretaría de Turismo","M",3,3
"680","Secretaría de Turismo","M",4,1
"681","Secretaría de Turismo","M",5,1
"682","Secretaría de Turismo",NA,1,3
"683","Secretaría de Turismo",NA,3,1
"684","Secretaría del Medio Ambiente","H",1,2012
"685","Secretaría del Medio Ambiente","H",2,155
"686","Secretaría del Medio Ambiente","H",3,21
"687","Secretaría del Medio Ambiente","H",4,4
"688","Secretaría del Medio Ambiente","H",5,4
"689","Secretaría del Medio Ambiente","M",1,1361
"690","Secretaría del Medio Ambiente","M",2,115
"691","Secretaría del Medio Ambiente","M",3,14
"692","Secretaría del Medio Ambiente","M",4,2
"693","Secretaría del Medio Ambiente","M",5,3
"694","Secretaría del Medio Ambiente","M",6,1
"695","Secretaría del Medio Ambiente",NA,1,83
"696","Secretaría del Medio Ambiente",NA,2,8
"697","Secretaría del Medio Ambiente",NA,3,1
"698","Secretaría del Trabajo y Fomento al Empleo","H",1,207
"699","Secretaría del Trabajo y Fomento al Empleo","H",2,13
"700","Secretaría del Trabajo y Fomento al Empleo","H",3,7
"701","Secretaría del Trabajo y Fomento al Empleo","H",4,2
"702","Secretaría del Trabajo y Fomento al Empleo","H",5,2
"703","Secretaría del Trabajo y Fomento al Empleo","M",1,315
"704","Secretaría del Trabajo y Fomento al Empleo","M",2,30
"705","Secretaría del Trabajo y Fomento al Empleo","M",3,6
"706","Secretaría del Trabajo y Fomento al Empleo","M",4,2
"707","Secretaría del Trabajo y Fomento al Empleo","M",5,2
"708","Secretaría del Trabajo y Fomento al Empleo","M",6,1
"709","Secretaría del Trabajo y Fomento al Empleo",NA,1,14
"710","Secretaría del Trabajo y Fomento al Empleo",NA,2,1
"711","Sistema de Aguas de La Ciudad De México","H",1,9214
"712","Sistema de Aguas de La Ciudad De México","H",2,168
"713","Sistema de Aguas de La Ciudad De México","H",3,19
"714","Sistema de Aguas de La Ciudad De México","H",4,2
"715","Sistema de Aguas de La Ciudad De México","H",5,3
"716","Sistema de Aguas de La Ciudad De México","H",6,1
"717","Sistema de Aguas de La Ciudad De México","M",1,2515
"718","Sistema de Aguas de La Ciudad De México","M",2,48
"719","Sistema de Aguas de La Ciudad De México","M",3,2
"720","Sistema de Aguas de La Ciudad De México","M",5,2
"721","Sistema de Aguas de La Ciudad De México",NA,1,203
"722","Sistema de Aguas de La Ciudad De México",NA,2,3
"723","Sistema de Aguas de La Ciudad De México",NA,3,1
"724","Sistema Público De Radiodifusión De La Ciudad De México","H",1,27
"725","Sistema Público De Radiodifusión De La Ciudad De México","H",2,8
"726","Sistema Público De Radiodifusión De La Ciudad De México","H",3,1
"727","Sistema Público De Radiodifusión De La Ciudad De México","H",5,1
"728","Sistema Público De Radiodifusión De La Ciudad De México","M",1,17
"729","Sistema Público De Radiodifusión De La Ciudad De México","M",2,3
"730","Sistema Público De Radiodifusión De La Ciudad De México","M",3,2
"731","Sistema Público De Radiodifusión De La Ciudad De México",NA,1,2
"732","Universidad de la Policía De La Ciudad De México","H",1,196
"733","Universidad de la Policía De La Ciudad De México","H",2,24
"734","Universidad de la Policía De La Ciudad De México","H",3,2
"735","Universidad de la Policía De La Ciudad De México","H",5,1
"736","Universidad de la Policía De La Ciudad De México","M",1,146
"737","Universidad de la Policía De La Ciudad De México","M",2,8
"738","Universidad de la Policía De La Ciudad De México","M",3,2
"739","Universidad de la Policía De La Ciudad De México",NA,1,5
"740","Universidad de la Policía De La Ciudad De México",NA,2,1
"741","Universidad de la Salud","H",1,4
"742","Universidad de la Salud","H",2,15
"743","Universidad de la Salud","H",3,2
"744","Universidad de la Salud","H",4,1
"745","Universidad de la Salud","H",5,1
"746","Universidad de la Salud","M",1,6
"747","Universidad de la Salud","M",2,8
"748","Universidad de la Salud","M",3,5
"749","Universidad de la Salud","M",4,3
"750","Universidad de la Salud",NA,3,1
